Date,Price
04-28-2013,103.1862
04-29-2013,110.3745
04-30-2013,106.3128
05-01-2013,88.6291
05-02-2013,80.5923
05-03-2013,75.1575
05-04-2013,86.2273
05-05-2013,88.4403
05-06-2013,85.5829
05-07-2013,83.7734
05-08-2013,86.563
05-09-2013,85.7885
05-10-2013,90.0629
05-11-2013,89.0164
05-12-2013,88.3954
05-13-2013,90.8763
05-14-2013,85.8463
05-15-2013,88.2102
05-16-2013,91.5815
05-17-2013,95.8971
05-18-2013,96.0028
05-19-2013,95.3844
05-20-2013,94.9896
05-21-2013,95.4072
05-22-2013,95.9877
05-23-2013,98.11
05-24-2013,102.9938
05-25-2013,101.9565
05-26-2013,103.2175
05-27-2013,100.3132
05-28-2013,99.7548
05-29-2013,102.7794
05-30-2013,99.6187
05-31-2013,98.8856
06-01-2013,99.3948
06-02-2013,94.3005
06-03-2013,92.9568
06-05-2013,93.2043
06-06-2013,90.9132
06-07-2013,84.0138
06-08-2013,81.6081
06-09-2013,75.9808
06-10-2013,80.5148
06-11-2013,82.2838
06-12-2013,81.7592
06-13-2013,78.0
06-14-2013,74.8329
06-15-2013,74.8098
06-16-2013,74.8707
06-17-2013,76.3907
06-18-2013,80.3631
06-19-2013,80.84
06-20-2013,83.571
06-21-2013,82.8054
06-22-2013,82.3009
06-23-2013,82.1938
06-24-2013,77.8076
06-25-2013,78.7549
06-26-2013,79.4311
06-27-2013,78.1492
06-28-2013,72.6188
06-29-2013,72.9441
06-30-2013,74.9331
07-01-2013,65.0205
07-02-2013,67.1281
07-03-2013,59.1872
07-04-2013,59.7792
07-05-2013,51.2984
07-06-2013,52.057
07-07-2013,56.5087
07-08-2013,58.1136
07-09-2013,57.7136
07-10-2013,65.9978
07-11-2013,70.2041
07-12-2013,67.6164
07-13-2013,69.9784
07-14-2013,69.1701
07-15-2013,71.3026
07-16-2013,71.0398
07-17-2013,68.9509
07-18-2013,65.1081
07-19-2013,65.4085
07-20-2013,65.2057
07-21-2013,65.0437
07-22-2013,65.5021
07-23-2013,65.9892
07-24-2013,66.2494
07-25-2013,67.8216
07-26-2013,68.4316
07-27-2013,67.098
07-28-2013,69.3614
07-29-2013,70.2551
07-30-2013,72.6135
07-31-2013,73.8145
08-01-2013,72.5204
08-02-2013,73.5564
08-03-2013,72.8642
08-04-2013,72.7376
08-05-2013,72.9734
08-06-2013,73.2315
08-07-2013,72.8867
08-08-2013,71.0947
08-09-2013,69.8062
08-10-2013,69.8827
08-11-2013,70.5836
08-12-2013,71.2942
08-13-2013,73.6152
08-14-2013,73.8297
08-15-2013,73.5616
08-16-2013,73.7209
08-17-2013,74.6914
08-18-2013,74.1534
08-19-2013,76.7487
08-20-2013,78.7578
08-21-2013,83.1088
08-22-2013,82.1467
08-23-2013,80.5138
