Date,Price
08-26-2015,3.9843707715e-05
08-27-2015,3.7873903342e-05
08-28-2015,3.51197851718e-05
08-29-2015,3.2872309932e-05
08-30-2015,2.66332435824e-05
08-31-2015,2.8721105974e-05
09-01-2015,2.61507266916e-05
09-02-2015,2.4461509929e-05
09-03-2015,2.038724e-05
09-04-2015,2.2703874801e-05
09-05-2015,2.3156363493e-05
09-06-2015,2.3616943809e-05
09-07-2015,3.64981506318e-05
09-08-2015,5.43586449274e-05
09-09-2015,5.09970019626e-05
09-10-2015,4.46498902503e-05
09-11-2015,3.80566883004e-05
09-12-2015,3.10635340671e-05
09-13-2015,3.0511684241e-05
09-14-2015,3.2552e-05
09-15-2015,2.8569968e-05
09-16-2015,2.8373142e-05
09-17-2015,2.6493844e-05
09-18-2015,2.67844630651e-05
09-19-2015,2.4544800518e-05
09-20-2015,2.4535008e-05
09-21-2015,2.63354849856e-05
09-22-2015,2.69441907625e-05
09-23-2015,2.67168007568e-05
09-24-2015,2.93322443964e-05
09-25-2015,2.7267032e-05
09-26-2015,2.92877389987e-05
09-27-2015,2.7045486e-05
09-28-2015,2.5559964e-05
09-29-2015,2.529018e-05
09-30-2015,2.5356288e-05
10-01-2015,2.5490748e-05
10-02-2015,2.539524e-05
10-03-2015,2.3448293e-05
10-04-2015,2.5541592e-05
10-05-2015,2.577222e-05
10-06-2015,2.404655e-05
10-07-2015,2.3798819e-05
10-08-2015,2.7974102e-05
10-09-2015,2.7948557e-05
10-10-2015,2.5916544e-05
10-11-2015,2.6148792e-05
10-12-2015,3.4600544e-05
10-13-2015,3.5054624e-05
10-14-2015,3.083248e-05
10-15-2015,3.3570405e-05
10-16-2015,4.1608224e-05
10-17-2015,3.8055728e-05
10-18-2015,4.1568066e-05
10-19-2015,4.4304067e-05
10-20-2015,3.5715825e-05
10-21-2015,4.0028013e-05
10-22-2015,3.6953085e-05
10-23-2015,3.776424e-05
10-24-2015,3.5954156e-05
10-25-2015,3.3602959e-05
10-26-2015,3.098856e-05
10-27-2015,3.20364e-05
10-28-2015,3.3347508e-05
10-29-2015,3.427092e-05
10-30-2015,3.5523e-05
10-31-2015,3.1224633e-05
11-01-2015,3.2455951e-05
11-02-2015,3.184768e-05
11-03-2015,3.262761e-05
11-04-2015,3.3391665e-05
11-05-2015,3.1620078e-05
11-06-2015,2.7757088e-05
11-07-2015,2.883004e-05
11-08-2015,2.7721704e-05
11-09-2015,3.186018e-05
11-10-2015,2.5131752e-05
11-11-2015,2.2770352e-05
11-12-2015,2.1886277e-05
11-13-2015,2.1875329e-05
11-14-2015,2.1646611e-05
11-15-2015,2.0894034e-05
11-16-2015,1.860423e-05
11-17-2015,1.8889842e-05
11-18-2015,2.2025353e-05
11-19-2015,1.8199356e-05
11-20-2015,2.4150504e-05
11-21-2015,2.1425502e-05
11-22-2015,2.4305072e-05
11-23-2015,1.8212844e-05
11-24-2015,2.1037149e-05
11-25-2015,2.1685083e-05
11-26-2015,2.0175312e-05
11-27-2015,1.3591824e-05
11-28-2015,1.681171e-05
11-29-2015,1.4030716e-05
11-30-2015,1.789339e-05
12-01-2015,1.709694e-05
12-02-2015,1.6909175e-05
12-03-2015,1.9815354e-05
12-04-2015,1.6669615e-05
12-05-2015,1.7950645e-05
12-06-2015,1.81149e-05
12-07-2015,1.8200215e-05
12-08-2015,1.5160032e-05
12-09-2015,1.514746e-05
12-10-2015,1.5242108e-05
12-11-2015,1.2352866e-05
12-12-2015,1.5824692e-05
12-13-2015,1.982261e-05
12-14-2015,1.6121044e-05
12-15-2015,1.2764028e-05
12-16-2015,2.0810415e-05
12-17-2015,1.6850724e-05
12-18-2015,1.7071452e-05
12-19-2015,1.700338e-05
12-20-2015,1.6240324e-05
12-21-2015,1.6046996e-05
12-22-2015,1.5935652e-05
12-23-2015,2.031841e-05
12-24-2015,1.6593716e-05
12-25-2015,1.6614404e-05
12-26-2015,1.5205388e-05
12-27-2015,1.5456188e-05
12-28-2015,1.1504451e-05
12-29-2015,1.5817312e-05
12-30-2015,1.5619696e-05
12-31-2015,1.583552e-05
01-01-2016,2.0001305e-05
01-02-2016,1.9997715e-05
01-03-2016,1.980416e-05
01-04-2016,1.6011016e-05
01-05-2016,1.6075756e-05
01-06-2016,1.60001e-05
01-07-2016,1.6712168e-05
01-08-2016,1.6649296e-05
01-09-2016,2.0539035e-05
01-10-2016,2.454535799999999e-05
01-11-2016,2.476764e-05
01-12-2016,2.0529965e-05
01-13-2016,1.986244e-05
01-14-2016,1.9778675e-05
01-15-2016,1.6763855e-05
01-16-2016,1.7593125e-05
01-17-2016,1.7690625e-05
01-18-2016,1.7672185e-05
01-19-2016,1.733895e-05
01-20-2016,1.9318475e-05
01-21-2016,2.2513074e-05
01-22-2016,2.0982318e-05
01-23-2016,2.5260319e-05
01-24-2016,2.2401552e-05
01-25-2016,1.808581e-05
01-26-2016,2.167146e-05
01-27-2016,2.171451e-05
01-28-2016,2.4297875e-05
01-29-2016,2.797632e-05
01-30-2016,2.43607e-05
01-31-2016,2.3548994e-05
02-01-2016,2.0460816e-05
02-02-2016,2.3908899e-05
02-03-2016,2.3201472e-05
02-04-2016,2.7748032e-05
02-05-2016,2.7645144e-05
02-06-2016,2.687664e-05
02-07-2016,2.692748e-05
02-08-2016,4.6397442e-05
02-09-2016,4.3044872e-05
02-10-2016,3.703689e-05
02-11-2016,4.662690199999999e-05
02-12-2016,8.501675000000001e-05
02-13-2016,6.93728e-05
02-14-2016,8.9798675e-05
02-15-2016,8.9476075e-05
02-16-2016,8.4012606e-05
02-17-2016,7.1188554e-05
02-18-2016,7.9698171e-05
02-19-2016,7.534846e-05
02-20-2016,7.1335422e-05
02-21-2016,6.310384e-05
02-22-2016,6.7477522e-05
02-23-2016,6.8670774e-05
02-24-2016,7.68225e-05
02-25-2016,7.2929486e-05
02-26-2016,7.421134e-05
02-27-2016,7.1150652e-05
02-28-2016,6.7302932e-05
02-29-2016,7.6326705e-05
03-01-2016,6.7507697e-05
03-02-2016,7.0299072e-05
03-03-2016,7.2849971e-05
03-04-2016,7.0652773e-05
03-05-2016,6.8578961e-05
03-06-2016,9.19788e-05
03-07-2016,9.3908125e-05
03-08-2016,8.2307632e-05
03-09-2016,8.6176561e-05
03-10-2016,8.9359464e-05
03-11-2016,9.7754566e-05
03-12-2016,0.000103157236
03-13-2016,8.880384e-05
03-14-2016,9.708139999999999e-05
03-15-2016,9.353655e-05
03-16-2016,8.9156352e-05
03-17-2016,0.000103549936
03-18-2016,0.000101432772
03-19-2016,0.000126319375
03-20-2016,0.000120563091
03-21-2016,0.000117019904
03-22-2016,0.000115072527
03-23-2016,0.00011965856
03-24-2016,0.0001297772
03-25-2016,0.000126584652
03-26-2016,0.00011941056
03-27-2016,9.9074586e-05
03-28-2016,0.00011323062
03-29-2016,0.000106732528
03-30-2016,0.00010922589
03-31-2016,0.000105829729
04-01-2016,0.000106062744
04-02-2016,0.000103136768
04-03-2016,0.000102782708
04-04-2016,0.0001031079
04-05-2016,0.000103964756
04-06-2016,9.619817999999999e-05
04-07-2016,9.2558825e-05
04-08-2016,8.8110528e-05
04-09-2016,8.7609864e-05
04-10-2016,8.492106e-05
04-11-2016,0.00010371732
04-12-2016,9.732626800000001e-05
04-13-2016,0.000101564685
04-14-2016,0.000109398179
04-15-2016,0.000102882825
04-16-2016,9.54708e-05
04-17-2016,9.8540858e-05
04-18-2016,9.849177e-05
04-19-2016,9.221486400000001e-05
04-20-2016,8.994386900000001e-05
04-21-2016,8.3908965e-05
04-22-2016,9.567816e-05
04-23-2016,8.4529221e-05
04-24-2016,8.191202e-05
04-25-2016,7.7682336e-05
04-26-2016,7.453855799999999e-05
04-27-2016,7.460678700000001e-05
04-28-2016,7.917221999999998e-05
04-29-2016,7.5767041e-05
04-30-2016,7.4329406e-05
05-01-2016,7.5059044e-05
05-02-2016,7.3263924e-05
05-03-2016,8.2229994e-05
05-04-2016,8.5622548e-05
05-05-2016,9.0550517e-05
05-06-2016,8.4794052e-05
05-07-2016,9.2617389e-05
05-08-2016,0.000108945378
05-09-2016,9.7360512e-05
05-10-2016,9.897850000000002e-05
05-11-2016,9.8952375e-05
05-12-2016,9.993055e-05
05-13-2016,0.000100821775
05-14-2016,9.6684696e-05
05-15-2016,0.00010532290600000002
05-16-2016,0.000104537576
05-17-2016,0.00014799611499999998
05-18-2016,0.000145149912
05-19-2016,0.000224145603
05-20-2016,0.000240190489
05-21-2016,0.000280252407
05-22-2016,0.00028153692
05-23-2016,0.0002330777890000001
05-24-2016,0.0002239454
05-25-2016,0.00022139062
05-26-2016,0.000255387447
05-27-2016,0.000230214204
05-28-2016,0.000223576603
05-29-2016,0.000225837936
05-30-2016,0.000263763005
05-31-2016,0.00028641966
06-01-2016,0.00029887658
06-02-2016,0.000285074194
06-03-2016,0.000285746643
06-04-2016,0.00029263453399999993
06-05-2016,0.000369117419
06-06-2016,0.00038653852500000003
06-07-2016,0.0004934794489999998
06-08-2016,0.00048093972
06-09-2016,0.0004899708480000001
06-10-2016,0.000432382356
06-11-2016,0.0004514438039999999
06-12-2016,0.0005074644500000002
06-13-2016,0.0005552151080000001
06-14-2016,0.000563121604
06-15-2016,0.000572366268
06-16-2016,0.000756394626
06-17-2016,0.000850687744
06-18-2016,0.0007382618099999998
06-19-2016,0.0008182646780000001
06-20-2016,0.0007915418560000003
06-21-2016,0.0006974519799999999
06-22-2016,0.0007730819959999999
06-23-2016,0.0007882008479999998
06-24-2016,0.0008104709199999999
06-25-2016,0.001041726175
06-26-2016,0.0009075838400000004
06-27-2016,0.0009123769649999998
06-28-2016,0.000800205355
06-29-2016,0.00068758896
06-30-2016,0.0007260706799999999
07-01-2016,0.00069363072
07-02-2016,0.0007333331840000001
07-03-2016,0.0007103919199999999
07-04-2016,0.0007061149680000001
07-05-2016,0.0006634692899999999
07-06-2016,0.0006212175360000001
07-07-2016,0.00061195125
07-08-2016,0.000650487348
