Date,Price
07-18-2020,692.013788444067
07-19-2020,692.013788444067
07-20-2020,946.081813636483
07-21-2020,933.4160363534846
07-22-2020,768.7629241728091
07-23-2020,1031.828699466096
07-24-2020,1601.3231234212788
07-25-2020,2754.6990871841867
07-26-2020,2918.106643729566
07-27-2020,2702.9810957128516
07-28-2020,2486.5485631482866
07-29-2020,3012.3968561508705
07-30-2020,3804.15308727055
07-31-2020,3680.8492249054675
08-01-2020,3504.778260645955
08-02-2020,3279.9745183647015
08-03-2020,3449.4748148343947
08-04-2020,3225.5579067688445
08-05-2020,3130.9013765037844
08-06-2020,3486.0547598190883
08-07-2020,4099.647831549728
08-08-2020,3608.5463915823684
08-09-2020,3773.7266061609066
08-10-2020,3485.624755458302
08-11-2020,5390.625003659839
08-12-2020,5107.105643489003
08-13-2020,4926.020269624979
08-14-2020,4510.128721844308
08-15-2020,4234.132229297504
08-16-2020,4471.3804604795205
08-17-2020,5611.618967252121
08-18-2020,7463.1774204579215
08-19-2020,8104.3572731530985
08-20-2020,10556.284924972852
08-21-2020,12740.665790535912
08-22-2020,10334.453584950938
08-23-2020,11907.525856996743
08-24-2020,10550.341367169594
08-25-2020,12260.644121997637
08-26-2020,11395.664420042174
08-27-2020,13097.052708621297
08-28-2020,11989.565444760905
08-29-2020,15920.59043006248
08-30-2020,22681.757104221786
08-31-2020,26780.7464621357
09-01-2020,29366.128452423545
09-02-2020,26778.067386201266
09-03-2020,26844.607915053803
09-04-2020,24980.162278489843
09-05-2020,23225.317057064934
09-06-2020,18687.692074416776
09-07-2020,20295.81910123163
09-08-2020,19329.24558224654
09-09-2020,19020.18088602036
09-10-2020,23566.206073713565
09-11-2020,28471.780676036095
09-12-2020,31929.721540536837
09-13-2020,36579.62246523327
09-14-2020,31018.689119407878
09-15-2020,33324.620398999425
09-16-2020,30326.729386325555
09-17-2020,29405.423348125634
09-18-2020,27862.910198016805
09-19-2020,27897.662854558384
09-20-2020,26050.527911106547
09-21-2020,23519.906355299576
09-22-2020,20383.959332101622
09-23-2020,21333.943961245983
09-24-2020,18709.455863755316
09-25-2020,21530.771546606986
09-26-2020,23046.688686321133
09-27-2020,27171.086947998327
09-28-2020,26295.452856231866
09-29-2020,24425.716105383315
09-30-2020,21316.290503087752
10-01-2020,20289.37546011452
10-02-2020,19375.519849833825
10-03-2020,17996.803072587383
10-04-2020,16150.675372576117
10-05-2020,16342.350747466322
10-06-2020,16138.389132845317
10-07-2020,14229.49513505462
10-08-2020,12561.28385830912
10-09-2020,14122.750013570498
10-10-2020,15341.186882706486
10-11-2020,13511.418096623878
10-12-2020,14313.093409658799
10-13-2020,13967.202497120315
10-14-2020,13374.701289184335
10-15-2020,12387.4820305999
10-16-2020,12437.243234012016
10-17-2020,11460.798469844862
10-18-2020,11988.951533514384
10-19-2020,13085.514929614783
10-20-2020,11841.501228190236
10-21-2020,11082.052526074594
10-22-2020,11222.30334083232
10-23-2020,11516.524269639187
10-24-2020,12525.902559342188
10-25-2020,12562.562551119065
10-26-2020,12060.822312675316
10-27-2020,11577.143909913402
10-28-2020,11374.084189088722
10-29-2020,10724.546966971386
10-30-2020,9261.650209980988
10-31-2020,9518.867929980903
11-01-2020,8979.801422815342
11-02-2020,9145.249272303869
