,alpha,P_alpha,beta,P_beta
0x,0.4262869383710655,0.000353,0.5502382472285124,0.0003565
algorand,0.3440909351732597,0.00756,0.8373383673196831,3.197e-05
aragon,0.23230081829893695,0.001894,0.9103839865837065,0.0003049
ardor,0.07002436522260808,0.001341,0.7537978791622296,9.614e-07
augur,0.22538821611571988,0.03344,0.3823017503122962,6.996e-05
bancor,0.38057380695154286,0.00403,0.579285594982548,1.742e-06
basic-attention-token,0.35307033946672894,0.001926,0.8371321375628985,2.076e-10
beam,0.1247562550401454,0.01976,0.870708662389829,0.02331
binancecoin,0.27287017834567073,7.211e-06,0.9717114552070526,1.183e-17
bitcoin-cash-sv,0.09140480436653119,0.04347,0.7188105597323421,0.001186
cardano,0.264536110957473,0.005386,0.8762285623427631,0.03977
chainlink,0.22275556816506653,0.01758,0.9514940142868689,0.01915
chiliz,0.4703953228050365,0.001283,0.7726386662032501,0.004105
civic,1.400815366086158,0.0009684,0.33152892419220303,1.77e-08
constellation-labs,0.1962794863544626,0.01303,0.8921441770120417,0.008532
cortex,0.5455635010934424,0.002706,0.5718686880977337,6.403e-08
cosmos,0.2563601660764608,0.0005018,0.9396516320449859,3.071e-10
dash,0.3834539917420936,0.02304,0.8987025110632676,2.746e-06
decred,0.19839250098345762,0.0001591,0.6512874594046206,0.0002139
dent,0.44589226866060366,0.001003,0.9568434403365648,0.004177
digibyte,0.20883748015352743,0.01607,0.12683661201322186,0.02914
dogecoin,2.267818191855999,1.49e-07,0.38133902323863433,2.458e-08
elastos,0.2588954790495691,0.01478,0.7020414282930936,0.003045
enjincoin,0.1946385660978171,0.002682,0.9826576235377169,6.709999999999999e-23
eos,0.27827649280557937,8.515e-06,0.5793116078602212,7.129e-06
ethereum,0.15509784204236074,0.001537,0.9634867395953037,0.000156
ethereum-classic,0.2471237264578321,0.0001851,0.5399363895352904,0.004093
gatechain-token,0.5123893856204159,0.02835,0.6407233427089248,8.916e-12
gnosis,0.3271515965376519,0.0001439,0.7508477428113353,1.593e-05
hive,0.5479926787262005,7.999e-06,0.31658842152178607,0.005091
iexec-rlc,0.3211129515994973,0.007142,0.08799885036373702,1.149e-06
iostoken,0.2747442569617492,0.01066,0.851065183432988,0.0001224
kava,0.21789380607660555,0.003141,0.5599861358791534,5.471e-06
lisk,0.2965670025886938,0.001172,0.7437462387931782,0.003558
litecoin,0.21517532017727833,0.002735,0.6630945174597576,0.01744
matic-network,0.20974204802239352,0.00892,0.9654593173389646,7.215e-07
monero,0.2099178915499557,0.002067,0.8272385055188438,0.003999
nem,0.18847428870225905,0.006622,0.5897710361947825,0.01424
neo,0.16424357622507452,0.01707,0.7774063387715975,2.667e-07
nervos-network,0.18269529862715614,0.001631,0.7382954448638375,0.001951
okb,0.5454293564457744,0.002643,0.8798530169514597,0.00135
polymath,0.210775062152035,0.01203,0.5890958307828316,2.263e-05
qtum,0.18200253728810015,0.00704,0.7998402051876021,1.347e-10
ravencoin,0.2342846139991633,5.476e-05,0.6627751472192646,0.006339
reserve-rights-token,0.16310116897427027,0.01098,0.48384243822825973,0.04823
ripple,0.8878894022273062,0.003655,0.5949815348767067,0.008742
siacoin,0.2965709486131291,0.007706,0.8359022836930193,0.004433
status,0.17666671931341651,0.004715,0.06826679781381964,0.005911
steem,0.24024188761532392,0.01463,0.7772475742276966,0.01031
stellar,0.6486013784529545,3.847e-07,0.7444967506642439,0.03414
stratis,0.3514421240732222,2.971e-05,0.6562148361629319,0.001709
tezos,0.29829814428612844,0.02016,0.8667147294872902,1.236e-13
theta-token,0.17938960490034248,0.01454,0.6839816594217571,0.0006817
tron,0.2803709959516137,1.226e-10,0.9583506722078632,0.000266
vechain,0.1505062561806386,0.008964,0.5598774452066096,0.02409
waves,0.31348771900793504,0.04104,0.6646326059870564,4.003e-06
wazirx,0.3554973899459099,2.382e-06,0.9576797454390853,0.0001167
zcash,0.344249276554418,0.001495,0.8124261606629471,0.003444
